x,Month1,Month2,Month3
Year1,2139.037504,2114.503227,1906.535353
Year2,2052.47286,1730.32789,1732.16764
Year3,1343.755793,1405.417769,1407.01342
Year4,2328.0431,2243.767233,2077.403949
Year5,2826.525791,2318.68571,2095.519803
