x,Month1,Month2,Month3
Year1,3323.659243,4175.312434,4185.470769
Year2,3997.353073,4320.551437,4207.051615
Year3,3771.320283,4283.305256,4395.064558
Year4,5480.536352,5033.482899,5124.072476
Year5,5576.968645,5739.985281,5934.570638
