x,Month1,Month2,Month3
Year1,10803.62288,10801.14781,10103.58539
Year2,8353.97305,8712.977581,7927.318032
Year3,8463.539861,7768.76095,8356.595572
Year4,9519.118236,10618.66309,12061.38704
Year5,13144.91397,13720.59192,15773.46105
