x,Month1,Month2,Month3
Year1,2014.030021,2030.95694,1933.05306
Year2,2011.414265,1151.024696,1193.351956
Year3,1794.857223,1924.980579,1601.126165
Year4,2200.850811,2373.191312,2250
Year5,2043.026593,2036.885995,1926.503533
