x,Month1,Month2,Month3
Year1,9419.805376,7193.375134,5630.48695
Year2,6851.60329,4819.488817,3364.402408
Year3,3810.290263,3914.867641,3354.412488
Year4,4107.026202,4750.34369,3917.123184
Year5,14142.43887,9823.675904,8530.140321
