x,Month1,Month2,Month3
Year1,5633.309463,5479.956033,5361.764657
Year2,4726.031072,4933.598817,5166.471373
Year3,5431.455635,5356.033743,5578.800436
Year4,7897.387181,8124.507897,9326.538296
Year5,8793.130946,8315.694345,8331.838228
