x,Month1,Month2,Month3
Year1,979.5723975,949.1169312,990.2155855
Year2,1450,1377.387605,1412.63067
Year3,1402.765652,1447.010086,1839.844919
Year4,1346.554591,1330.457683,1512.677014
Year5,1286.467602,1340.768003,1359.108606
