x,Month1,Month2,Month3
Year1,2114.455903,2205.7288,2351.791874
Year2,2241.053114,2047.36267,1948.276532
Year3,1839.21684,1912.353969,1971.395711
Year4,2066.016405,2432.858742,2663.830763
Year5,2536.392864,2753.890187,2750.284564
