x,Month1,Month2,Month3
Year1,605.5468117,669.7079006,602.1392201
Year2,2376.176798,2530.703321,1694.507197
Year3,1743.344536,1771.157347,1932.82863
Year4,1405.534053,1446.624994,1476.055226
Year5,1145.959015,1048.43762,969.9403591
